Site Name,Average,StDev,Time,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,00:00,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,00:05,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,00:10,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,00:15,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,00:20,,
CAJT_GHA1114_CR2_HD3,92.63,4.43,00:25,,
CAJT_GHA1114_CR2_HD3,92.61,3.00,00:30,,
CAJT_GHA1114_CR2_HD3,92.07,0.71,00:35,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,00:40,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,00:45,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,00:50,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,00:55,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:00,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:05,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:10,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:15,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:20,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:25,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:30,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:35,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:40,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:45,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:50,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:55,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:00,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:05,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:10,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:15,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:20,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:25,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:30,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:35,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:40,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:45,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:50,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:55,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:00,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:05,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:10,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:15,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:20,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:25,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:30,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:35,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:40,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:45,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:50,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:55,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,04:00,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,04:05,,
CAJT_GHA1114_CR2_HD3,92.04,0.20,04:10,,
CAJT_GHA1114_CR2_HD3,92.07,0.26,04:15,,
CAJT_GHA1114_CR2_HD3,92.12,0.44,04:20,,
CAJT_GHA1114_CR2_HD3,92.14,0.50,04:25,,
CAJT_GHA1114_CR2_HD3,92.20,0.71,04:30,,
CAJT_GHA1114_CR2_HD3,92.21,0.75,04:35,,
CAJT_GHA1114_CR2_HD3,92.27,0.93,04:40,,
CAJT_GHA1114_CR2_HD3,92.27,0.93,04:45,,
CAJT_GHA1114_CR2_HD3,92.31,1.10,04:50,,
CAJT_GHA1114_CR2_HD3,92.42,1.29,04:55,,
CAJT_GHA1114_CR2_HD3,92.37,1.27,05:00,,
CAJT_GHA1114_CR2_HD3,92.39,1.37,05:05,,
CAJT_GHA1114_CR2_HD3,92.92,3.90,05:10,,
CAJT_GHA1114_CR2_HD3,92.57,2.01,05:15,,
CAJT_GHA1114_CR2_HD3,92.82,2.78,05:20,,
CAJT_GHA1114_CR2_HD3,92.78,2.43,05:25,,
CAJT_GHA1114_CR2_HD3,92.90,2.76,05:30,,
CAJT_GHA1114_CR2_HD3,93.66,4.47,05:35,,
CAJT_GHA1114_CR2_HD3,94.82,5.69,05:40,,
CAJT_GHA1114_CR2_HD3,97.80,9.29,05:45,,
CAJT_GHA1114_CR2_HD3,98.08,7.64,05:50,,
CAJT_GHA1114_CR2_HD3,97.33,8.07,05:55,,
CAJT_GHA1114_CR2_HD3,95.90,7.66,06:00,,
CAJT_GHA1114_CR2_HD3,94.73,6.11,06:05,,
CAJT_GHA1114_CR2_HD3,93.73,4.68,06:10,,
CAJT_GHA1114_CR2_HD3,94.53,6.32,06:15,,
CAJT_GHA1114_CR2_HD3,96.84,10.20,06:20,,
CAJT_GHA1114_CR2_HD3,98.84,10.49,06:25,,
CAJT_GHA1114_CR2_HD3,99.02,9.47,06:30,,
CAJT_GHA1114_CR2_HD3,99.80,10.27,06:35,,
CAJT_GHA1114_CR2_HD3,99.84,9.44,06:40,,
CAJT_GHA1114_CR2_HD3,100.59,10.68,06:45,,
CAJT_GHA1114_CR2_HD3,102.04,12.04,06:50,,
CAJT_GHA1114_CR2_HD3,102.82,12.16,06:55,,
CAJT_GHA1114_CR2_HD3,102.88,12.60,07:00,,
CAJT_GHA1114_CR2_HD3,102.41,12.09,07:05,,
CAJT_GHA1114_CR2_HD3,102.22,12.90,07:10,,
CAJT_GHA1114_CR2_HD3,102.61,12.82,07:15,,
CAJT_GHA1114_CR2_HD3,102.67,14.09,07:20,,
CAJT_GHA1114_CR2_HD3,103.94,14.93,07:25,,
CAJT_GHA1114_CR2_HD3,103.43,13.94,07:30,,
CAJT_GHA1114_CR2_HD3,105.15,15.48,07:35,,
CAJT_GHA1114_CR2_HD3,105.71,15.48,07:40,,
CAJT_GHA1114_CR2_HD3,106.69,17.37,07:45,,
CAJT_GHA1114_CR2_HD3,105.80,16.12,07:50,,
CAJT_GHA1114_CR2_HD3,106.44,17.43,07:55,,
CAJT_GHA1114_CR2_HD3,105.39,15.97,08:00,,
CAJT_GHA1114_CR2_HD3,107.02,19.89,08:05,,
CAJT_GHA1114_CR2_HD3,107.53,21.05,08:10,,
CAJT_GHA1114_CR2_HD3,107.08,19.97,08:15,,
CAJT_GHA1114_CR2_HD3,109.13,23.35,08:20,,
CAJT_GHA1114_CR2_HD3,109.16,20.44,08:25,,
CAJT_GHA1114_CR2_HD3,106.04,17.26,08:30,,
CAJT_GHA1114_CR2_HD3,107.04,17.38,08:35,,
CAJT_GHA1114_CR2_HD3,108.59,21.22,08:40,,
CAJT_GHA1114_CR2_HD3,109.10,22.11,08:45,,
CAJT_GHA1114_CR2_HD3,108.92,20.02,08:50,,
CAJT_GHA1114_CR2_HD3,108.32,18.39,08:55,,
CAJT_GHA1114_CR2_HD3,108.18,18.14,09:00,,
CAJT_GHA1114_CR2_HD3,109.43,20.19,09:05,,
CAJT_GHA1114_CR2_HD3,107.76,18.77,09:10,,
CAJT_GHA1114_CR2_HD3,108.46,19.07,09:15,,
CAJT_GHA1114_CR2_HD3,107.92,18.44,09:20,,
CAJT_GHA1114_CR2_HD3,107.59,16.80,09:25,,
