Link Name,Average Travel Time (s),Standard Dev,Time,,
,,,,,
CAJT_GHA1114_CR2_HD3,93.00,2.93,00:00,,
CAJT_GHA1114_CR2_HD3,94.72,6.49,00:05,,
CAJT_GHA1114_CR2_HD3,93.11,3.25,00:10,,
CAJT_GHA1114_CR2_HD3,92.75,3.32,00:15,,
CAJT_GHA1114_CR2_HD3,92.67,2.83,00:20,,
CAJT_GHA1114_CR2_HD3,92.33,1.41,00:25,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,00:30,,
CAJT_GHA1114_CR2_HD3,92.61,2.98,00:35,,
CAJT_GHA1114_CR2_HD3,92.83,3.79,00:40,,
CAJT_GHA1114_CR2_HD3,92.44,1.89,00:45,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,00:50,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,00:55,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:00,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:05,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:10,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:15,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:20,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:25,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:30,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:35,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:40,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:45,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:50,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,01:55,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:00,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:05,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:10,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:15,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:20,,
CAJT_GHA1114_CR2_HD3,92.50,2.12,02:25,,
CAJT_GHA1114_CR2_HD3,92.50,2.12,02:30,,
CAJT_GHA1114_CR2_HD3,92.11,0.67,02:35,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:40,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:45,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:50,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,02:55,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:00,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:05,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:10,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:15,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:20,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:25,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:30,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:35,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:40,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:45,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,03:50,,
CAJT_GHA1114_CR2_HD3,92.28,1.26,03:55,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,04:00,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,04:05,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,04:10,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,04:15,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,04:20,,
CAJT_GHA1114_CR2_HD3,92.00,0.00,04:25,,
CAJT_GHA1114_CR2_HD3,92.44,0.51,04:30,,
CAJT_GHA1114_CR2_HD3,92.44,0.50,04:35,,
CAJT_GHA1114_CR2_HD3,92.44,0.51,04:40,,
CAJT_GHA1114_CR2_HD3,92.44,0.51,04:45,,
CAJT_GHA1114_CR2_HD3,92.44,0.51,04:50,,
CAJT_GHA1114_CR2_HD3,92.22,0.96,04:55,,
CAJT_GHA1114_CR2_HD3,92.44,0.51,05:00,,
CAJT_GHA1114_CR2_HD3,92.89,1.02,05:05,,
CAJT_GHA1114_CR2_HD3,92.89,1.02,05:10,,
CAJT_GHA1114_CR2_HD3,92.44,0.50,05:15,,
CAJT_GHA1114_CR2_HD3,92.44,0.51,05:20,,
CAJT_GHA1114_CR2_HD3,92.89,1.02,05:25,,
CAJT_GHA1114_CR2_HD3,93.33,1.53,05:30,,
CAJT_GHA1114_CR2_HD3,95.47,7.39,05:35,,
CAJT_GHA1114_CR2_HD3,95.67,5.81,05:40,,
CAJT_GHA1114_CR2_HD3,95.67,5.59,05:45,,
CAJT_GHA1114_CR2_HD3,95.61,5.28,05:50,,
CAJT_GHA1114_CR2_HD3,94.19,3.45,05:55,,
CAJT_GHA1114_CR2_HD3,93.33,1.53,06:00,,
CAJT_GHA1114_CR2_HD3,93.78,2.05,06:05,,
CAJT_GHA1114_CR2_HD3,93.33,1.53,06:10,,
CAJT_GHA1114_CR2_HD3,94.26,5.48,06:15,,
CAJT_GHA1114_CR2_HD3,94.71,6.82,06:20,,
CAJT_GHA1114_CR2_HD3,94.29,4.04,06:25,,
CAJT_GHA1114_CR2_HD3,94.94,5.84,06:30,,
CAJT_GHA1114_CR2_HD3,94.74,4.39,06:35,,
CAJT_GHA1114_CR2_HD3,99.47,9.56,06:40,,
CAJT_GHA1114_CR2_HD3,97.65,6.40,06:45,,
CAJT_GHA1114_CR2_HD3,96.29,5.93,06:50,,
CAJT_GHA1114_CR2_HD3,97.41,6.57,06:55,,
CAJT_GHA1114_CR2_HD3,95.71,4.57,07:00,,
CAJT_GHA1114_CR2_HD3,95.71,4.57,07:05,,
CAJT_GHA1114_CR2_HD3,95.29,4.06,07:10,,
CAJT_GHA1114_CR2_HD3,95.91,5.38,07:15,,
CAJT_GHA1114_CR2_HD3,97.65,5.98,07:20,,
CAJT_GHA1114_CR2_HD3,96.59,4.77,07:25,,
CAJT_GHA1114_CR2_HD3,97.06,5.99,07:30,,
CAJT_GHA1114_CR2_HD3,96.76,5.34,07:35,,
CAJT_GHA1114_CR2_HD3,98.41,7.45,07:40,,
CAJT_GHA1114_CR2_HD3,99.59,8.40,07:45,,
CAJT_GHA1114_CR2_HD3,99.65,7.94,07:50,,
CAJT_GHA1114_CR2_HD3,97.56,6.40,07:55,,
CAJT_GHA1114_CR2_HD3,96.59,5.82,08:00,,
CAJT_GHA1114_CR2_HD3,97.94,9.10,08:05,,
CAJT_GHA1114_CR2_HD3,98.53,8.04,08:10,,
CAJT_GHA1114_CR2_HD3,98.03,8.35,08:15,,
CAJT_GHA1114_CR2_HD3,96.88,7.06,08:20,,
CAJT_GHA1114_CR2_HD3,99.94,11.70,08:25,,
CAJT_GHA1114_CR2_HD3,99.76,9.07,08:30,,
CAJT_GHA1114_CR2_HD3,99.24,7.14,08:35,,
CAJT_GHA1114_CR2_HD3,98.82,5.93,08:40,,
CAJT_GHA1114_CR2_HD3,99.12,10.30,08:45,,
CAJT_GHA1114_CR2_HD3,100.06,7.54,08:50,,
CAJT_GHA1114_CR2_HD3,99.09,6.52,08:55,,
CAJT_GHA1114_CR2_HD3,99.00,6.13,09:00,,
CAJT_GHA1114_CR2_HD3,98.82,6.15,09:05,,
CAJT_GHA1114_CR2_HD3,98.24,6.10,09:10,,
CAJT_GHA1114_CR2_HD3,99.68,7.64,09:15,,
CAJT_GHA1114_CR2_HD3,99.12,7.47,09:20,,
CAJT_GHA1114_CR2_HD3,98.53,7.82,09:25,,
CAJT_GHA1114_CR2_HD3,99.53,8.09,09:30,,
CAJT_GHA1114_CR2_HD3,100.94,8.09,09:35,,
CAJT_GHA1114_CR2_HD3,101.24,8.86,09:40,,
CAJT_GHA1114_CR2_HD3,99.56,8.10,09:45,,
CAJT_GHA1114_CR2_HD3,99.78,7.22,09:50,,
CAJT_GHA1114_CR2_HD3,100.97,8.20,09:55,,
CAJT_GHA1114_CR2_HD3,99.44,6.10,10:00,,
CAJT_GHA1114_CR2_HD3,99.22,6.97,10:05,,
CAJT_GHA1114_CR2_HD3,100.06,7.19,10:10,,
CAJT_GHA1114_CR2_HD3,99.53,6.09,10:15,,
CAJT_GHA1114_CR2_HD3,100.22,7.07,10:20,,
CAJT_GHA1114_CR2_HD3,102.33,9.01,10:25,,
CAJT_GHA1114_CR2_HD3,103.28,10.19,10:30,,
CAJT_GHA1114_CR2_HD3,102.72,9.44,10:35,,
CAJT_GHA1114_CR2_HD3,100.94,7.75,10:40,,
CAJT_GHA1114_CR2_HD3,101.17,7.77,10:45,,
CAJT_GHA1114_CR2_HD3,102.11,9.02,10:50,,
CAJT_GHA1114_CR2_HD3,101.83,8.06,10:55,,
CAJT_GHA1114_CR2_HD3,103.50,11.84,11:00,,
CAJT_GHA1114_CR2_HD3,102.67,9.92,11:05,,
CAJT_GHA1114_CR2_HD3,103.33,9.58,11:10,,
CAJT_GHA1114_CR2_HD3,102.64,9.41,11:15,,
CAJT_GHA1114_CR2_HD3,102.83,9.34,11:20,,
CAJT_GHA1114_CR2_HD3,102.06,8.34,11:25,,
CAJT_GHA1114_CR2_HD3,101.28,8.01,11:30,,
CAJT_GHA1114_CR2_HD3,103.81,10.26,11:35,,
CAJT_GHA1114_CR2_HD3,104.22,10.99,11:40,,
CAJT_GHA1114_CR2_HD3,103.83,10.61,11:45,,
CAJT_GHA1114_CR2_HD3,105.61,12.69,11:50,,
CAJT_GHA1114_CR2_HD3,105.81,12.77,11:55,,
CAJT_GHA1114_CR2_HD3,105.06,11.78,12:00,,
CAJT_GHA1114_CR2_HD3,104.61,10.96,12:05,,
CAJT_GHA1114_CR2_HD3,105.00,12.63,12:10,,
